annotation	node
a00000726	19079
a00000727	19080
a00000728	19081
a00000729	19082
a00000730	19083
a00000731	19084
a00000732	19085
a00000733	19086
a00000734	19087
a00000735	19088
a00000736	19089
a00000737	19090
a00000738	19091
a00000739	19092
a00000740	19093
a00000741	19094
a00000742	19095
a00000743	19096
a00000744	19097
a00000745	19098
a00000746	19099
a00000747	19100
a00000748	19101
a00000749	19102
a00000750	19103
a00000751	19104
a00000752	19105
a00000753	19106
a00000754	19107
a00000755	19108
a00000756	19109
a00000757	19110
a00000758	19111
a00000759	19112
a00000760	19113
a00000761	19114
a00000762	19115
a00000763	19116
a00000764	19117
a00000765	19118
a00000766	19119
a00000767	19120
a00000768	19121
a00000769	19122
a00000770	19123
a00000771	19124
a00000772	19125
a00000773	19126
a00000774	19127
a00000775	19128
a00000776	19129
a00000777	19130
a00000778	19131
a00000779	19132
a00000780	19133
a00000781	19134
a00000782	19135
a00000783	19136
a00000784	19137
a00000785	19138
a00000786	19139
a00000787	19140
a00000788	19141
a00002449	19142
a00002450	19143
a00002451	19144
a00002452	19145
a00002453	19146
a00002454	19147
a00002455	19148
a00002456	19149
a00002457	19150
a00002458	19151
a00002459	19152
a00002460	19153
a00002461	19154
a00002462	19155
a00001430	19156
a00001431	19157
a00001432	19158
a00001433	19159
a00001434	19160
a00001435	19161
a00001436	19162
a00001437	19163
a00001438	19164
a00001439	19165
a00001440	19166
a00001441	19167
a00001442	19168
a00001443	19169
a00001444	19170
a00001445	19171
a00001446	19172
a00001447	19173
a00001448	19174
a00001449	19175
a00001450	19176
a00001451	19177
a00001452	19178
a00001453	19179
a00001454	19180
a00001455	19181
a00001456	19182
a00002256	19183
a00002257	19184
a00002258	19185
a00002259	19186
a00002260	19187
a00002261	19188
a00002262	19189
a00002263	19190
a00002264	19191
a00002265	19192
a00002266	19193
a00000565	19194
a00000566	19195
a00000567	19196
a00000568	19197
a00000569	19198
a00000570	19199
a00000571	19200
a00000572	19201
a00000573	19202
a00000574	19203
a00000575	19204
a00000576	19205
a00000577	19206
a00000578	19207
a00000579	19208
a00000580	19209
a00000581	19210
a00000582	19211
a00000583	19212
a00000584	19213
a00000585	19214
a00000586	19215
a00000587	19216
a00000588	19217
a00000589	19218
a00000590	19219
a00000591	19220
a00000592	19221
a00000593	19222
a00000594	19223
a00000595	19224
a00000596	19225
a00000597	19226
a00000598	19227
a00000599	19228
a00000600	19229
a00000601	19230
a00000602	19231
a00000603	19232
a00000604	19233
a00000605	19234
a00000606	19235
a00000607	19236
a00000608	19237
a00000609	19238
a00000610	19239
a00000611	19240
a00000612	19241
a00000613	19242
a00000614	19243
a00000615	19244
a00000616	19245
a00000617	19246
a00000618	19247
a00000619	19248
a00000620	19249
a00000621	19250
a00000622	19251
a00000623	19252
a00000624	19253
a00000625	19254
a00000626	19255
a00000627	19256
a00000628	19257
a00000629	19258
a00000630	19259
a00000631	19260
a00000632	19261
a00000633	19262
a00000634	19263
a00000635	19264
a00000636	19265
a00000637	19266
a00000638	19267
a00000639	19268
a00000640	19269
a00000641	19270
a00000642	19271
a00000643	19272
a00000644	19273
a00000645	19274
a00000646	19275
a00000647	19276
a00000648	19277
a00000649	19278
a00000650	19279
a00000651	19280
a00000652	19281
a00000653	19282
a00000654	19283
a00000655	19284
a00000656	19285
a00000657	19286
a00000658	19287
a00000659	19288
a00000113	19289
a00000114	19290
a00000115	19291
a00000116	19292
a00000117	19293
a00000118	19294
a00000119	19295
a00000120	19296
a00000121	19297
a00000122	19298
a00000123	19299
a00000124	19300
a00000125	19301
a00000126	19302
a00000127	19303
a00000128	19304
a00000129	19305
a00000130	19306
a00000131	19307
a00000132	19308
a00000133	19309
a00000134	19310
a00000135	19311
a00000136	19312
a00000137	19313
a00000138	19314
a00000139	19315
a00000140	19316
a00000141	19317
a00000142	19318
a00000143	19319
a00000144	19320
a00000145	19321
a00000146	19322
a00000147	19323
a00000148	19324
a00000149	19325
a00000150	19326
a00000151	19327
a00000152	19328
a00000153	19329
a00000154	19330
a00000155	19331
a00000156	19332
a00000157	19333
a00000158	19334
a00000159	19335
a00000160	19336
a00000161	19337
a00000162	19338
a00001619	19339
a00001620	19340
a00001621	19341
a00001622	19342
a00001623	19343
a00001624	19344
a00001625	19345
a00001626	19346
a00001627	19347
a00001628	19348
a00001629	19349
a00001630	19350
a00001631	19351
a00001632	19352
a00002231	19353
a00002232	19354
a00002233	19355
a00002234	19356
a00002235	19357
a00002236	19358
a00002237	19359
a00002238	19360
a00002239	19361
a00002240	19362
a00002241	19363
a00002242	19364
a00002243	19365
a00002244	19366
a00002463	19367
a00002464	19368
a00000213	19369
a00000214	19370
a00000215	19371
a00000216	19372
a00000217	19373
a00000218	19374
a00001013	19375
a00001014	19376
a00001015	19377
a00001016	19378
a00001017	19379
a00001018	19380
a00001019	19381
a00001020	19382
a00001021	19383
a00001022	19384
a00001023	19385
a00001024	19386
a00001025	19387
a00001026	19388
a00002465	19389
a00002466	19390
a00002467	19391
a00002468	19392
a00002469	19393
a00002470	19394
a00002471	19395
a00002472	19396
a00002473	19397
a00002474	19398
